"datasetName","decimalLongitude","decimalLatitude","depth","scientificName"
"gbif",-82.82599,24.67526,6.4,"Dactylopterus volitans"
"gbif",-82.79196,24.71284,13.7,"Dactylopterus volitans"
"gbif",-82.79286,24.71294,13,"Dactylopterus volitans"
"gbif",-82.90636,24.57074,16.8,"Dactylopterus volitans"
"gbif",-82.90625,24.5707,16.5,"Dactylopterus volitans"
"gbif",-82.96551,24.62914,19.2,"Dactylopterus volitans"
"gbif",-82.96562,24.62917,19.7,"Dactylopterus volitans"
"gbif",-82.93805,24.65861,20.6,"Dactylopterus volitans"
"gbif",-82.93813,24.65862,23.5,"Dactylopterus volitans"
"gbif",-82.93748,24.6604,18.8,"Dactylopterus volitans"
"gbif",-82.93757,24.66054,15.9,"Dactylopterus volitans"
"gbif",-82.92972,24.66641,22.5,"Dactylopterus volitans"
"gbif",-82.92978,24.66625,21.7,"Dactylopterus volitans"
"gbif",-82.92805,24.66931,16.6,"Dactylopterus volitans"
"gbif",-82.92787,24.66907,18.8,"Dactylopterus volitans"
"gbif",-82.92753,24.6703,16.5,"Dactylopterus volitans"
"gbif",-82.92766,24.67044,14.1,"Dactylopterus volitans"
"gbif",-82.88605,24.6907,11.5,"Dactylopterus volitans"
"gbif",-82.88586,24.69088,10.1,"Dactylopterus volitans"
"gbif",-82.89741,24.71539,25.5,"Dactylopterus volitans"
"gbif",-82.89736,24.71545,25.9,"Dactylopterus volitans"
"gbif",-82.90057,24.62496,9,"Dactylopterus volitans"
"gbif",-82.90051,24.62506,9,"Dactylopterus volitans"
"gbif",-82.89712,24.6288,8.7,"Dactylopterus volitans"
"gbif",-82.89717,24.62872,6.9,"Dactylopterus volitans"
"gbif",-82.9682,24.63098,23.7,"Dactylopterus volitans"
"gbif",-82.9682,24.63098,18.6,"Dactylopterus volitans"
"gbif",-82.87207,24.7054,9.5,"Dactylopterus volitans"
"gbif",-82.87213,24.70547,10.1,"Dactylopterus volitans"
"gbif",-82.888,24.71241,15.9,"Dactylopterus volitans"
"gbif",-82.77487,24.72315,25.8,"Dactylopterus volitans"
"gbif",-82.88813,24.71251,14.8,"Dactylopterus volitans"
"gbif",-82.85492,24.72068,15.1,"Dactylopterus volitans"
"gbif",-82.855,24.72066,14.3,"Dactylopterus volitans"
"gbif",-82.81002,24.72665,16.7,"Dactylopterus volitans"
"gbif",-82.8101,24.72669,17.3,"Dactylopterus volitans"
"gbif",-82.80516,24.72624,17.6,"Dactylopterus volitans"
"gbif",-82.8054,24.72634,16.5,"Dactylopterus volitans"
"gbif",-82.80428,24.72845,16.9,"Dactylopterus volitans"
"gbif",-82.80449,24.72842,17.7,"Dactylopterus volitans"
"gbif",-82.81263,24.72683,19.7,"Dactylopterus volitans"
"gbif",-82.81263,24.72683,18.2,"Dactylopterus volitans"
"gbif",-82.8044,24.72981,18.2,"Dactylopterus volitans"
"gbif",-82.80103,24.72981,16.6,"Dactylopterus volitans"
"gbif",-82.80102,24.72987,17.4,"Dactylopterus volitans"
"gbif",-82.8044,24.72981,17,"Dactylopterus volitans"
"gbif",-82.96124,24.63434,19.1,"Dactylopterus volitans"
"gbif",-82.95759,24.6376,19.5,"Dactylopterus volitans"
"gbif",-82.96125,24.63445,21.8,"Dactylopterus volitans"
"gbif",-82.85211,24.6625,12.4,"Dactylopterus volitans"
"gbif",-82.95759,24.6376,14.3,"Dactylopterus volitans"
"gbif",-82.85198,24.66254,11.6,"Dactylopterus volitans"
"gbif",-82.93291,24.66394,23.1,"Dactylopterus volitans"
"gbif",-82.93297,24.664,19.1,"Dactylopterus volitans"
"gbif",-82.88623,24.68882,10.9,"Dactylopterus volitans"
"gbif",-82.89729,24.68342,5.5,"Dactylopterus volitans"
"gbif",-82.89718,24.6833,5.7,"Dactylopterus volitans"
"gbif",-82.88634,24.68876,11.9,"Dactylopterus volitans"
"gbif",-82.85414,24.62622,20,"Dactylopterus volitans"
"gbif",-82.85453,24.6332,15.7,"Dactylopterus volitans"
"gbif",-82.85458,24.63329,15.2,"Dactylopterus volitans"
"gbif",-82.85406,24.62615,19.8,"Dactylopterus volitans"
"gbif",-82.96174,24.63976,21.5,"Dactylopterus volitans"
"gbif",-82.96163,24.63984,20.1,"Dactylopterus volitans"
"gbif",-82.92896,24.64454,10,"Dactylopterus volitans"
"gbif",-82.89927,24.62664,8.4,"Dactylopterus volitans"
"gbif",-82.89918,24.62669,6.6,"Dactylopterus volitans"
"gbif",-82.92916,24.64455,11.6,"Dactylopterus volitans"
"gbif",-82.9046,24.6801,8.7,"Dactylopterus volitans"
"gbif",-82.84983,24.71836,13.1,"Dactylopterus volitans"
"gbif",-82.8841,24.68836,10.9,"Dactylopterus volitans"
"gbif",-82.9046,24.68013,8.5,"Dactylopterus volitans"
"gbif",-82.88404,24.68837,7.9,"Dactylopterus volitans"
"gbif",-82.84991,24.71847,12.2,"Dactylopterus volitans"
"gbif",-82.9023,24.61355,10.2,"Dactylopterus volitans"
"gbif",-82.92976,24.64182,7.9,"Dactylopterus volitans"
"gbif",-82.90234,24.61347,10.2,"Dactylopterus volitans"
"gbif",-82.92975,24.64171,7.8,"Dactylopterus volitans"
"gbif",-82.90254,24.61107,9.2,"Dactylopterus volitans"
"gbif",-82.90253,24.61098,8.5,"Dactylopterus volitans"
"gbif",-82.86584,24.71568,12.8,"Dactylopterus volitans"
"gbif",-82.86568,24.71573,13.9,"Dactylopterus volitans"
"gbif",-82.85932,24.71788,13.4,"Dactylopterus volitans"
"gbif",-82.85909,24.71781,13.1,"Dactylopterus volitans"
"gbif",-82.91073,24.60205,16,"Dactylopterus volitans"
"gbif",-82.91083,24.60206,16.5,"Dactylopterus volitans"
"gbif",-82.90176,24.62324,9,"Dactylopterus volitans"
"gbif",-82.90158,24.62318,6.9,"Dactylopterus volitans"
"gbif",-82.9668,24.63298,21.4,"Dactylopterus volitans"
"gbif",-82.96688,24.63284,22.9,"Dactylopterus volitans"
"gbif",-82.96698,24.64062,19.7,"Dactylopterus volitans"
"gbif",-82.96701,24.64076,21.7,"Dactylopterus volitans"
"gbif",-82.90752,24.6868,14.8,"Dactylopterus volitans"
"gbif",-82.90749,24.68691,10,"Dactylopterus volitans"
"gbif",-82.9652,24.64182,23.7,"Dactylopterus volitans"
"gbif",-82.9653,24.64187,23.2,"Dactylopterus volitans"
"gbif",-82.96927,24.64278,21.3,"Dactylopterus volitans"
"gbif",-82.96938,24.64275,22.1,"Dactylopterus volitans"
"gbif",-82.96605,24.6434,23.4,"Dactylopterus volitans"
"gbif",-82.96605,24.64349,20.4,"Dactylopterus volitans"
"gbif",-83.0779,24.61877,13.4,"Dactylopterus volitans"
"gbif",-82.90632,24.70905,18,"Dactylopterus volitans"
"gbif",-82.90621,24.70901,17.1,"Dactylopterus volitans"
"gbif",-83.07785,24.61866,13.3,"Dactylopterus volitans"
"gbif",-83.10155,24.6296,22.9,"Dactylopterus volitans"
"gbif",-83.10137,24.62966,18.3,"Dactylopterus volitans"
"gbif",-83.10195,24.63512,22.3,"Dactylopterus volitans"
"gbif",-83.10196,24.63517,23.1,"Dactylopterus volitans"
"gbif",-83.10301,24.64025,25.6,"Dactylopterus volitans"
"gbif",-83.10308,24.64031,26.4,"Dactylopterus volitans"
"gbif",-83.03131,24.64839,18,"Dactylopterus volitans"
"gbif",-83.03122,24.64845,16.5,"Dactylopterus volitans"
"gbif",-83.0776,24.64562,15.3,"Dactylopterus volitans"
"gbif",-83.07799,24.6455,14.9,"Dactylopterus volitans"
"gbif",-83.079,24.61696,15.9,"Dactylopterus volitans"
"gbif",-83.07749,24.6157,15.2,"Dactylopterus volitans"
"gbif",-83.07762,24.61564,17.7,"Dactylopterus volitans"
"gbif",-83.07909,24.61691,14.5,"Dactylopterus volitans"
"gbif",-83.08408,24.62024,16.6,"Dactylopterus volitans"
"gbif",-83.08431,24.62025,18.6,"Dactylopterus volitans"
"gbif",-83.06636,24.6143,16.4,"Dactylopterus volitans"
"gbif",-83.06645,24.6145,16.8,"Dactylopterus volitans"
"gbif",-83.08522,24.65571,16.8,"Dactylopterus volitans"
"gbif",-83.08521,24.65575,16.5,"Dactylopterus volitans"
"gbif",-83.06291,24.61827,16.4,"Dactylopterus volitans"
"gbif",-83.06285,24.6184,16.4,"Dactylopterus volitans"
"gbif",-83.09573,24.63216,21.3,"Dactylopterus volitans"
"gbif",-83.09574,24.63236,21.6,"Dactylopterus volitans"
"gbif",-83.0661,24.63496,17.1,"Dactylopterus volitans"
"gbif",-83.06009,24.6363,14.2,"Dactylopterus volitans"
"gbif",-83.06589,24.63496,15.9,"Dactylopterus volitans"
"gbif",-83.06005,24.6363,14.2,"Dactylopterus volitans"
"gbif",-83.03122,24.64689,18.3,"Dactylopterus volitans"
"gbif",-83.03123,24.64678,17.1,"Dactylopterus volitans"
"gbif",-83.0309,24.6795,18.5,"Dactylopterus volitans"
"gbif",-83.03093,24.67968,20.9,"Dactylopterus volitans"
"gbif",-82.9858,24.70735,24.6,"Dactylopterus volitans"
"gbif",-82.98592,24.70742,23.8,"Dactylopterus volitans"
"gbif",-83.01771,24.67744,22.4,"Dactylopterus volitans"
"gbif",-83.01755,24.67742,20.1,"Dactylopterus volitans"
"gbif",-83.03184,24.68164,16.5,"Dactylopterus volitans"
"gbif",-83.03193,24.68158,18.3,"Dactylopterus volitans"
"gbif",-83.03253,24.68197,22.7,"Dactylopterus volitans"
"gbif",-83.04323,24.68292,22.3,"Dactylopterus volitans"
"gbif",-83.03258,24.68204,18.5,"Dactylopterus volitans"
"gbif",-83.04343,24.68281,21.2,"Dactylopterus volitans"
"gbif",-83.01199,24.68239,17.1,"Dactylopterus volitans"
"gbif",-83.01206,24.68235,17.6,"Dactylopterus volitans"
"gbif",-83.05077,24.68611,18.5,"Dactylopterus volitans"
"gbif",-83.05065,24.68611,17.4,"Dactylopterus volitans"
"gbif",-82.98219,24.7159,23.7,"Dactylopterus volitans"
"gbif",-82.9822,24.71599,22.8,"Dactylopterus volitans"
"gbif",-83.01771,24.68031,15.4,"Dactylopterus volitans"
"gbif",-83.01753,24.68021,18.1,"Dactylopterus volitans"
"gbif",-83.03402,24.68103,20.9,"Dactylopterus volitans"
"gbif",-83.03372,24.6811,20.6,"Dactylopterus volitans"
"gbif",-82.99427,24.71374,16,"Dactylopterus volitans"
"gbif",-82.98462,24.71959,19.8,"Dactylopterus volitans"
"gbif",-82.99437,24.7137,15.4,"Dactylopterus volitans"
"gbif",-82.98454,24.71949,18.8,"Dactylopterus volitans"
"gbif",-83.00538,24.69482,22.3,"Dactylopterus volitans"
"gbif",-83.00546,24.69488,23.7,"Dactylopterus volitans"
"gbif",-82.98349,24.72132,20.1,"Dactylopterus volitans"
"gbif",-82.98332,24.72103,19.8,"Dactylopterus volitans"
"gbif",-82.98505,24.72407,25,"Dactylopterus volitans"
"gbif",-83.01347,24.68596,22.9,"Dactylopterus volitans"
"gbif",-83.01801,24.69912,28.2,"Dactylopterus volitans"
"gbif",-83.01105,24.65258,24.9,"Dactylopterus volitans"
"gbif",-83.01095,24.65258,25,"Dactylopterus volitans"
"gbif",-82.99015,24.66102,26.2,"Dactylopterus volitans"
"gbif",-82.99678,24.68494,21.5,"Dactylopterus volitans"
"gbif",-83.00539,24.70084,27,"Dactylopterus volitans"
"gbif",-82.82784,24.7232,22.1,"Dactylopterus volitans"
"gbif",-82.7916,24.73307,18.3,"Dactylopterus volitans"
"gbif",-82.96174,24.64361,21,"Dactylopterus volitans"
"gbif",-82.85839,24.629,10.3,"Dactylopterus volitans"
"gbif",-82.93079,24.64285,7.2,"Dactylopterus volitans"
"gbif",-82.93212,24.63895,7,"Dactylopterus volitans"
"gbif",-82.88369,24.71135,13.3,"Dactylopterus volitans"
"gbif",-82.90185,24.71177,18.6,"Dactylopterus volitans"
"gbif",-83.10151,24.65378,23.5,"Dactylopterus volitans"
"gbif",-83.10143,24.65384,24,"Dactylopterus volitans"
"gbif",-83.06002,24.62232,14.6,"Dactylopterus volitans"
"gbif",-82.99329,24.7133,15.5,"Dactylopterus volitans"
"gbif",-83.00756,24.65174,24.9,"Dactylopterus volitans"
